Rank,Player,TOP,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP,adj_FG,adj_FT,zFG,zFT,z3P,zPTS,zREB,zAST,zSTL,zBLK,zTOV,zAVG
300,Alex Abrines,0,2,5,0.393,1.4,0.6,0.7,0.898,1.3,0.6,0.5,0.1,0.5,6,-0.1,0.471620988,0.783527857,-0.709452284,0.162054273,0.210518443,-1.269355072,-1.713634493,-1.084847795,-1.398523899,-1.124591724,1.340332406,-0.62083335
301,Lance Thomas,0,2.1,5.3,0.398,0.8,0.9,1.1,0.843,3.1,0.8,0.5,0.1,0.5,6,-0.4,0.471260527,0.783148269,-0.787046187,0.125577988,-0.438510748,-1.269355072,-1.04037984,-0.99840574,-1.398523899,-1.124591724,1.340332406,-0.621211424
302,Luke Babbitt,0,1.7,4.1,0.402,1.3,0.2,0.2,0.733,2.1,0.5,0.3,0.2,0.4,4.8,0,0.472713765,0.783288651,-0.474217925,0.139067856,0.102346911,-1.452740321,-1.414410203,-1.128068823,-1.914291578,-0.935706809,1.449438989,-0.625397989
303,Terry Rozier,0,2,5.6,0.367,0.8,0.7,0.9,0.773,3.1,1.8,0.6,0.1,0.6,5.5,-0.2,0.469168722,0.781913729,-1.237334153,0.006945639,-0.438510748,-1.345765593,-1.04037984,-0.566195463,-1.14064006,-1.124591724,1.231225823,-0.62836068
304,Hollis Thompson,0,1.9,5,0.385,0.8,0.5,0.7,0.655,2.8,0.9,0.5,0.2,0.3,5.1,-0.2,0.470749849,0.780665052,-0.896976105,-0.113045196,-0.438510748,-1.406894009,-1.152588949,-0.955184712,-1.398523899,-0.935706809,1.558545572,-0.637653873
305,Isaiah Whitehead,0,2.8,7,0.402,0.6,1.2,1.5,0.805,2.5,2.6,0.6,0.5,1.9,7.4,-1.2,0.47039452,0.78277718,-0.973465272,0.089918395,-0.654853812,-1.055405616,-1.264798058,-0.220427241,-1.14064006,-0.369052064,-0.187159754,-0.641764831
306,Mike Dunleavy,0,1.8,4.2,0.423,1,0.7,0.8,0.8,2.2,0.9,0.3,0.1,0.5,5.2,0,0.473176328,0.784145806,-0.374645262,0.221435647,-0.222167685,-1.391611905,-1.377007167,-0.955184712,-1.914291578,-1.124591724,1.340332406,-0.644192442
307,Davis Bertans,0,1.5,3.5,0.44,1,0.4,0.5,0.824,1.5,0.7,0.3,0.4,0.5,4.5,0.8,0.473451928,0.782281285,-0.315318669,0.042265667,-0.222167685,-1.498586633,-1.638828421,-1.041626767,-1.914291578,-0.557936979,1.340332406,-0.64512874
308,Marcus Thornton,0,2.5,6.4,0.4,0.8,0.7,0.8,0.852,2.3,1.2,0.6,0.1,0.8,6.6,-0.2,0.470241642,0.784145806,-1.006374312,0.221435647,-0.438510748,-1.177662448,-1.33960413,-0.825521629,-1.14064006,-1.124591724,1.013012657,-0.646495194
309,Dorian Finney-Smith,0,1.5,4.1,0.372,0.7,0.6,0.8,0.754,2.7,0.8,0.6,0.3,0.6,4.3,0.2,0.47095772,0.781291173,-0.852229269,-0.052878513,-0.54668228,-1.529150841,-1.189991985,-0.99840574,-1.14064006,-0.746821894,1.231225823,-0.647286084
