Player,Rookie,Pos,G,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP
Boban Marjanovic,0,C,39,2,3.8,0.534,0,2,2.5,0.794,3.7,0.6,0.3,0.3,0.9,6,0.1
Jarell Martin,0,PF,73,3,6.8,0.446,0.5,1.2,1.6,0.767,4.4,1,0.5,0.7,1.2,7.7,-0.4
Luc Mbah a Moute,0,PF,61,2.7,5.7,0.481,1,1.1,1.6,0.684,3,0.9,1.2,0.4,1.1,7.5,0.8
James Michael McAdoo,0,PF,3,0.7,2.3,0.286,0.7,0.7,0.7,1,0.7,0,0,0.3,0.3,2.7,0
Patrick McCaw,0,SG,57,1.6,3.9,0.409,0.3,0.5,0.6,0.765,1.4,1.4,0.8,0.2,0.7,4,-0.3
T.J. McConnell,0,PG,76,2.8,5.5,0.499,0.4,0.4,0.5,0.795,3,4,1.2,0.2,1.5,6.3,0.5
Chris McCullough,0,PF,19,0.9,2.2,0.429,0.1,0.5,0.7,0.643,1.3,0.2,0,0.3,0.1,2.4,-0.1
Doug McDermott,0,SF,81,2.9,6.3,0.467,1.1,0.8,1,0.79,2.5,1,0.2,0.2,0.7,7.8,-0.2
JaVale McGee,0,C,65,2.1,3.4,0.621,0,0.6,0.8,0.731,2.6,0.5,0.3,0.9,0.4,4.8,0.7
Rodney McGruder,0,SG,18,2,4.1,0.493,0.8,0.2,0.4,0.5,1.8,0.9,0.4,0.2,0.2,5.1,0.1
Ben McLemore,0,SG,56,2.8,6.7,0.421,1,0.9,1.1,0.828,2.5,0.9,0.7,0.3,1.1,7.5,-0.4
Josh McRoberts,0,PF,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Jodie Meeks,0,SG,77,2,5.1,0.399,0.9,1.3,1.5,0.863,1.6,0.9,0.4,0.1,0.5,6.3,-0.2
Salah Mejri,0,C,61,1.4,2.2,0.642,0,0.6,1.1,0.576,4,0.6,0.4,1.1,0.6,3.5,0.9
Jordan Mickey,0,PF,23,1.7,3.6,0.476,0.1,0.6,0.8,0.684,3.5,0.4,0.3,0.4,0.8,4,-0.2
C.J. Miles,0,SF,70,3.2,8.6,0.379,2.3,1.2,1.4,0.835,2.2,0.8,0.5,0.3,0.6,10,0.5
Darius Miller,0,SF,82,2.6,5.9,0.444,1.8,0.7,0.8,0.866,2,1.4,0.3,0.2,0.7,7.8,0.5
Patty Mills,0,PG,82,3.4,8.3,0.411,1.9,1.3,1.4,0.89,1.9,2.8,0.7,0.1,1.3,10,0.9
Paul Millsap,0,PF,38,5.3,11.4,0.464,1,2.9,4.2,0.696,6.4,2.8,1,1.2,1.9,14.6,0.8
Luis Montero,0,SG,2,0,0.5,0,0,0,0,0,1,0,0,0,1,0,0
Eric Moreland,0,PF,67,1,1.8,0.541,0,0.2,0.4,0.379,4.1,1.2,0.5,0.8,0.6,2.1,0.9
Marcus Morris,0,PF,54,4.9,11.3,0.429,1.6,2.3,2.9,0.805,5.4,1.3,0.6,0.2,1.2,13.6,0.1
Markieff Morris,0,PF,73,4.5,9.4,0.48,1,1.4,1.8,0.82,5.6,1.9,0.8,0.5,1.7,11.5,0.7
Timofey Mozgov,0,C,31,1.7,3,0.559,0.1,0.7,1,0.767,3.2,0.4,0.2,0.4,1.1,4.2,-0.2
Emmanuel Mudiay,0,PG,64,3.2,8.2,0.388,0.7,1.5,2,0.76,2.4,3.2,0.6,0.2,1.8,8.6,-0.9
Shabazz Muhammad,0,SF-SG,43,2,4.4,0.447,0.2,0.9,1.2,0.78,1.8,0.3,0.2,0.1,0.1,5,-0.4
Xavier Munford,0,SG,6,0.2,1,0.167,0,0.2,0.3,0.5,0.2,0.7,0.2,0,0.3,0.5,-0.1
Mike Muscala,0,C,53,2.7,5.9,0.458,1.2,1.1,1.2,0.919,4.3,1,0.6,0.5,0.8,7.6,0.6
Shabazz Napier,0,PG,74,3,7.2,0.42,1.1,1.6,1.9,0.841,2.3,2,1.1,0.2,1.2,8.7,0.8
Jameer Nelson,0,PG,50,1.9,4.9,0.389,0.8,0.3,0.4,0.8,2.1,3.6,0.5,0.1,1.3,4.9,-0.5
Raul Neto,0,PG,41,1.7,3.7,0.457,0.5,0.6,0.9,0.743,1.2,1.8,0.3,0.1,0.9,4.5,-0.1
Georges Niang,0,PF,9,0.4,1.2,0.364,0,0.1,0.2,0.5,1,0.3,0.2,0,0.3,1,0
Joakim Noah,0,C,7,0.7,1.4,0.5,0,0.3,0.6,0.5,2,0.6,0.3,0.3,0.6,1.7,0
Nerlens Noel,0,C,30,1.8,3.5,0.524,0,0.7,0.9,0.75,5.6,0.7,1,0.7,0.9,4.4,0.4
Lucas Nogueira,0,C,49,1,1.6,0.613,0.1,0.4,0.6,0.679,1.8,0.4,0.5,0.9,0.3,2.5,0.8
David Nwaba,0,SG,70,2.9,6,0.478,0.3,1.9,2.9,0.655,4.7,1.5,0.8,0.4,1.1,7.9,0.1
Johnny O'Bryant,0,PF,36,1.9,4.8,0.398,0.4,0.6,0.7,0.84,2.6,0.4,0.3,0.2,0.4,4.8,-0.3
Emeka Okafor,0,C,26,1.8,3.7,0.505,0,0.7,0.8,0.818,4.6,0.3,0.3,1,0.5,4.4,0.1
Jahlil Okafor,0,C,28,2.8,4.9,0.558,0,0.8,1,0.724,3,0.4,0.1,0.6,0.8,6.3,-0.2
Chinanu Onuaku,0,C,1,2,5,0.4,0,0,0,0,4,1,0,0,3,4,-0.1
Kelly Oubre,0,SF,81,3.9,9.8,0.403,1.6,2.4,2.9,0.82,4.5,1.2,1,0.4,1.1,11.8,0.4
Zaza Pachulia,0,C,69,2.2,3.8,0.564,0,1.1,1.3,0.806,4.7,1.6,0.6,0.2,1,5.4,0.7
Georgios Papagiannis,0,C,17,1.1,2.5,0.429,0,0,0,0,2.2,0.5,0.2,0.4,0.5,2.1,-0.1
Jabari Parker,0,PF,31,5.2,10.7,0.482,1,1.3,1.7,0.741,4.9,1.9,0.8,0.3,1.5,12.6,0
Tony Parker,0,PG,55,3.2,7.1,0.459,0.2,1,1.4,0.705,1.7,3.5,0.5,0,1.2,7.7,-0.6
Chandler Parsons,0,SF,36,3,6.5,0.462,1.4,0.5,0.8,0.63,2.5,1.9,0.5,0.3,1,7.9,0.1
Patrick Patterson,0,PF,82,1.3,3.2,0.398,0.8,0.5,0.6,0.87,2.4,0.7,0.6,0.3,0.4,3.9,0.2
Adreian Payne,0,PF,5,1.4,2,0.7,0.4,1,1.2,0.833,1.8,0,0.4,0,0.4,4.2,0
Cameron Payne,0,PG,25,3.5,8.6,0.405,1.4,0.5,0.6,0.75,2.8,4.5,1,0.4,1.4,8.8,0.2
Gary Payton,0,PG,23,1.3,3.2,0.405,0.3,0.1,0.4,0.333,1.9,0.9,0.3,0.1,0.3,3,-0.1
Kendrick Perkins,0,C,1,1,2,0.5,0,1,2,0.5,1,2,1,0,1,3,0
Marshall Plumlee,0,C,8,0.1,0.4,0.333,0,1.5,2,0.75,2.1,0.3,0,0.1,0.4,1.8,0
Miles Plumlee,0,C,55,1.9,3.3,0.583,0,0.5,1.1,0.45,4.1,0.8,0.3,0.5,1.1,4.3,-0.1
Quincy Pondexter,0,SF,23,0.6,2.1,0.286,0.1,0.6,0.7,0.824,1.2,0.4,0.3,0.1,0.5,2,-0.2
Kristaps Porzingis,0,PF,48,8.1,18.5,0.439,1.9,4.5,5.7,0.793,6.6,1.2,0.8,2.4,1.9,22.7,0.5
Norman Powell,0,SG,70,2.1,5.3,0.401,0.8,0.5,0.6,0.821,1.7,1.3,0.5,0.2,0.9,5.5,-0.2
Alex Poythress,0,PF,25,0.4,1,0.423,0.2,0,0,0,0.7,0.1,0.1,0,0.1,1,-0.1
Tim Quarterman,0,SG,3,0.3,1,0.333,0,0.7,0.7,1,1,0.3,0,0,0.7,1.3,0
Zach Randolph,0,PF,59,6.1,12.9,0.473,0.9,1.4,1.8,0.785,6.7,2.2,0.7,0.2,2,14.5,0.1
Willie Reed,0,C,42,1.9,2.9,0.669,0,0.8,1.3,0.582,2.9,0.2,0.2,0.5,0.5,4.6,0.1
Malachi Richardson,0,SG,26,1.2,3.5,0.333,0.5,0.7,0.8,0.773,1.3,0.5,0.4,0,0.4,3.4,-0.4
Austin Rivers,0,SG,61,5.6,13.2,0.424,2.2,1.7,2.6,0.642,2.4,4,1.2,0.3,1.8,15.1,0.6
Andre Roberson,0,SG,39,2.2,4.2,0.537,0.2,0.3,1,0.316,4.7,1.2,1.2,0.9,0.8,5,0.9
Glenn Robinson,0,SF,23,1.6,3.7,0.424,0.6,0.4,0.5,0.818,1.6,0.7,0.6,0,0.2,4.1,0
Rajon Rondo,0,PG,65,3.6,7.6,0.468,0.8,0.4,0.7,0.543,4,8.2,1.1,0.2,2.3,8.3,0.4
Derrick Rose,0,PG,25,3.2,7.4,0.435,0.3,1.6,1.8,0.87,1.4,1.5,0.3,0.2,1.4,8.4,-0.6
Terrence Ross,0,SG,24,3.2,8,0.398,1.3,1.1,1.5,0.75,3,1.6,1.1,0.5,1.2,8.7,0
D'Angelo Russell,0,PG,48,5.8,14,0.414,1.9,2,2.7,0.74,3.9,5.2,0.8,0.4,3.1,15.5,0.5
Domantas Sabonis,0,C,74,4.6,8.9,0.514,0.2,2.3,3,0.75,7.7,2,0.5,0.4,1.9,11.6,0.8
JaKarr Sampson,0,SF,22,2,3.7,0.543,0.2,0.5,0.7,0.625,3.5,0.4,0.4,1,0.4,4.7,0.1
Dennis Schroder,0,PG,67,7.5,17.1,0.436,1.1,3.4,4,0.849,3.1,6.2,1.1,0.1,2.7,19.4,0.7
Mike Scott,0,PF,76,3.6,6.9,0.527,0.9,0.7,1,0.658,3.3,1.1,0.3,0.1,1,8.8,-0.1
Thabo Sefolosha,0,SF,38,3.1,6.3,0.492,0.8,1.2,1.4,0.815,4.2,0.9,1.4,0.3,0.8,8.2,0.8
Wayne Selden,0,SG,35,3.3,7.7,0.431,1.4,1.3,1.7,0.746,1.6,1.9,0.5,0.1,1.5,9.3,-0.4
Ramon Sessions,0,PG,28,1.5,4.2,0.359,0.3,1.6,2,0.772,1.4,2.8,0.5,0.1,1.1,4.9,-0.3
Iman Shumpert,0,SG,14,1.6,4.1,0.379,0.5,0.8,1.1,0.733,2.9,1.2,0.6,0.3,1.1,4.4,-0.1
Xavier Silas,0,SG,2,0,1.5,0,0,0,0,0,1,0,0.5,0,0,0,0
Jonathon Simmons,0,SG,69,5.1,11,0.465,1,2.7,3.5,0.768,3.5,2.5,0.8,0.2,2.1,13.9,-0.2
Kyle Singler,0,SF,12,0.6,1.8,0.333,0.2,0.6,1.1,0.538,0.8,0.2,0.1,0,0.3,1.9,-0.1
Marcus Smart,0,SG,54,3.5,9.5,0.367,1.4,1.8,2.5,0.729,3.5,4.8,1.3,0.4,2.4,10.2,0.6
Ish Smith,0,PG,82,4.7,9.8,0.486,0.4,1,1.4,0.698,2.7,4.4,0.8,0.2,1.3,10.9,0.4
J.R. Smith,0,SG,80,3,7.4,0.403,1.8,0.5,0.7,0.696,2.9,1.8,0.9,0.1,1,8.3,0.2
Jason Smith,0,C,33,1.4,3.5,0.391,0.1,0.6,0.6,0.905,1.6,0.4,0.1,0.4,0.5,3.4,-0.3
Josh Smith,0,PF,3,0.3,1.3,0.25,0,0,0,0,1.3,0,0,0,0,0.7,0
Tony Snell,0,SG,75,2.5,5.7,0.435,1.4,0.5,0.6,0.792,1.9,1.3,0.6,0.4,0.5,6.9,0.1
Marreese Speights,0,C,52,2.7,6.7,0.395,1.7,0.8,1.1,0.727,2.6,0.8,0.2,0.4,0.8,7.7,-0.1
Nik Stauskas,0,SG,41,1.5,3.8,0.39,1,0.5,0.7,0.724,1.6,1,0.2,0.1,0.6,4.4,-0.3
Lance Stephenson,0,SG,82,3.7,8.6,0.427,0.8,1,1.5,0.661,5.2,2.9,0.6,0.2,1.6,9.2,0
David Stockton,0,PG,3,0.7,1,0.667,0.7,1.3,1.3,1,0,0,0,0,0.3,3.3,0
Julyan Stone,0,SG,23,0.3,0.6,0.462,0.3,0,0.1,0.5,1.3,1.1,0.2,0.1,0.3,0.8,0
Isaiah Taylor,0,PG,67,2.4,5.8,0.418,0.3,1.5,2.1,0.702,1.4,3.1,0.5,0.1,1.3,6.6,-1
Marquis Teague,0,PG,3,1.3,5.3,0.25,0.3,0.7,1.7,0.4,2,4.3,1.3,0,1,3.7,-0.1
Mirza Teletovic,0,PF,10,2.5,5.7,0.439,2.1,0,0,0,2.3,1,0.4,0.1,0.7,7.1,0
Garrett Temple,0,SG,65,3.1,7.3,0.418,1.4,0.9,1.2,0.769,2.3,1.9,0.9,0.4,1.2,8.4,0.1
Jason Terry,0,SG,51,1.2,3,0.383,0.8,0.2,0.2,0.889,0.9,1.2,0.8,0.3,0.5,3.3,0
Isaiah Thomas,0,PG,32,4.9,13.2,0.373,1.7,3.7,4.1,0.893,2.1,4.8,0.5,0.1,3,15.2,-0.7
Lance Thomas,0,PF,73,1.4,3.7,0.382,0.7,0.6,0.7,0.83,2.4,0.6,0.4,0.2,0.5,4.1,-0.2
Klay Thompson,0,SG,73,7.9,16.2,0.488,3.1,1.1,1.3,0.837,3.8,2.5,0.8,0.5,1.8,20,0.9
Tristan Thompson,0,C,53,2.5,4.4,0.562,0,0.8,1.5,0.544,6.6,0.6,0.3,0.3,0.7,5.8,-0.1
Evan Turner,0,SF,79,3.3,7.3,0.447,0.5,1.2,1.4,0.85,3.1,2.2,0.6,0.4,1.3,8.2,0.1
Tyler Ulis,0,PG,71,3,7.8,0.388,0.6,1.2,1.4,0.832,1.8,4.4,1,0.1,1.8,7.8,-1.3
Denzel Valentine,0,SG,77,3.9,9.4,0.417,1.9,0.5,0.7,0.745,5.1,3.2,0.8,0.1,1.3,10.2,0.8
Rashad Vaughn,0,SG,28,0.8,2,0.411,0.5,0.1,0.2,0.667,0.8,0.5,0.2,0.1,0.2,2.3,-0.1
Noah Vonleh,0,PF,54,1.9,4.3,0.444,0.4,0.7,1.1,0.621,5.8,0.6,0.4,0.3,0.6,4.9,-0.2
Dwyane Wade,0,SG,67,4.5,10.2,0.438,0.5,2,2.8,0.714,3.8,3.4,0.9,0.7,2.1,11.4,0
Dion Waiters,0,SG,30,5.4,13.7,0.398,1.7,1.7,2.3,0.739,2.6,3.8,0.8,0.3,2.3,14.3,-0.5
Taurean Waller-Prince,0,SF,82,5.1,11.9,0.426,2.1,1.9,2.2,0.844,4.7,2.6,1,0.5,2.3,14.1,0.8
T.J. Warren,0,SF,65,8.1,16.4,0.498,0.3,3,3.9,0.757,5.1,1.3,1,0.6,1.3,19.6,0.1
Travis Wear,0,SF,17,1.5,4.2,0.347,1,0.5,0.5,1,2.2,0.4,0.2,0.3,0.4,4.4,-0.2
Briante Weber,0,PG,18,1.1,2.4,0.442,0.2,0.4,0.6,0.8,1.9,1.2,1,0.3,0.8,2.8,0.1
Okaro White,0,PF,6,1.2,2.7,0.438,0.7,0.3,0.5,0.667,1.8,0.3,0.2,0.2,0.2,3.3,0
Isaiah Whitehead,0,PG,16,2.5,5.4,0.465,0.4,0.8,1.2,0.684,1.6,1.3,0.5,0.1,1.5,6.3,-0.2
Hassan Whiteside,0,C,54,5.8,10.7,0.54,0,2.4,3.4,0.703,11.4,1,0.7,1.7,1.7,14,0.8
Andrew Wiggins,0,SF,82,6.9,15.9,0.438,1.4,2.5,3.8,0.643,4.4,2,1.1,0.6,1.7,17.7,-0.4
Damien Wilkins,0,SF,19,0.7,2.1,0.333,0.2,0.2,0.2,0.75,0.8,0.5,0.1,0.1,0.3,1.7,-0.2
Alan Williams,0,PF,5,1.4,3.6,0.389,0,1.2,1.8,0.667,4.4,1.6,1,0.2,1.4,4,0
Derrick Williams,0,PF,2,0.5,2,0.25,0,0,0,0,0.5,0,0,0,0,1,0
Troy Williams,0,SF,21,2.4,5.2,0.468,0.5,1,1.4,0.667,3,0.8,1,0.2,0.9,6.3,0.2
Justise Winslow,0,PF,68,3,7.2,0.424,0.7,1,1.5,0.635,5.4,2.2,0.8,0.5,1.1,7.8,0.4
Jeff Withey,0,C,9,0.7,1.8,0.375,0.2,0.1,0.2,0.5,1.1,0,0,0.3,0.2,1.7,-0.1
Nate Wolters,0,PG,5,0.2,1.2,0.167,0,0,0,0,0.4,0.2,0,0,0,0.4,0
Brandan Wright,0,PF,28,2.1,3.6,0.578,0,0.8,1.2,0.636,3.4,0.5,0.5,0.9,0.3,5,0.3
James Young,0,SG,6,0.8,2.3,0.357,0.5,0.7,1,0.667,0.3,0.3,0,0,0.2,2.8,-0.1
Joe Young,0,PG,53,1.5,3.5,0.43,0.5,0.4,0.5,0.759,1.2,0.7,0.3,0,0.5,3.9,-0.4
Nick Young,0,SG,80,2.5,6.1,0.412,1.5,0.7,0.8,0.862,1.6,0.5,0.5,0.1,0.5,7.3,-0.6
Cody Zeller,0,C,33,2.6,4.7,0.545,0.1,1.8,2.6,0.718,5.4,0.9,0.4,0.6,1,7.1,0.4
Tyler Zeller,0,C,66,2.8,5.1,0.56,0.2,0.9,1.2,0.722,4.6,0.7,0.2,0.5,0.7,6.7,0.1
Paul Zipser,0,SF,54,1.5,4.3,0.346,0.7,0.4,0.5,0.76,2.4,0.9,0.4,0.3,0.8,4,-0.8
Ivica Zubac,0,C,43,1.4,2.8,0.5,0,0.9,1.2,0.765,2.9,0.6,0.2,0.3,0.6,3.7,0
